epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0475,2.01012,4.67827,1.53415,0.00409,0.80851,0.00448,0.00167,1.77478,4.48302,1.38054,0.00012,0.00012,0.00012
2,12249.3,1.49723,2.85713,1.11945,0.00505,1,0.22896,0.08468,1.48914,3.86341,1.09374,0.000254852,0.000254852,0.000254852
3,12301.5,1.42293,2.16171,1.09383,0.00505,1,0.33556,0.09885,1.36745,3.91274,1.07209,0.00038416,0.00038416,0.00038416
4,12350.9,1.44605,1.79248,1.11529,0.00495,0.97872,0.29065,0.12551,1.2739,3.72563,1.06753,0.000507924,0.000507924,0.000507924
5,12388.2,1.38079,1.7964,1.07669,0.00473,0.93617,0.17819,0.08692,1.37016,3.58078,1.08802,0.000626144,0.000626144,0.000626144
6,12420.3,1.36548,1.63606,1.07865,0.00473,0.93617,0.00964,0.00471,1.41733,3.75638,1.16674,0.00073882,0.00073882,0.00073882
7,12451.6,1.38738,1.61956,1.12866,0.00484,0.95745,0.67825,0.35201,1.50013,3.3987,1.16676,0.000845952,0.000845952,0.000845952
8,12482.8,1.4204,1.54166,1.1173,0.00473,0.93617,0.33137,0.15678,1.64501,3.59605,1.22432,0.00094754,0.00094754,0.00094754
9,12566.6,1.38234,1.55287,1.11948,0.96709,0.62543,0.77629,0.40318,1.5137,3.17031,1.21125,0.00104358,0.00104358,0.00104358
10,12593.5,1.32828,1.4239,1.07726,1,0.18979,0.75457,0.34461,1.60544,3.20615,1.24004,0.00113408,0.00113408,0.00113408
11,12619.7,1.42161,1.48387,1.10156,0.967,0.62359,0.91265,0.47851,1.55383,2.59907,1.24625,0.00121904,0.00121904,0.00121904
12,12646.3,1.39586,1.36776,1.12297,0.91805,0.71517,0.93331,0.48785,1.54869,2.34692,1.26061,0.00129845,0.00129845,0.00129845
13,12672.7,1.35326,1.39297,1.08416,0.90117,0.77617,0.89492,0.46529,1.57613,2.33461,1.25633,0.00137232,0.00137232,0.00137232
14,12699.6,1.34793,1.30394,1.10701,0.92496,0.89362,0.9561,0.48913,1.62005,2.00388,1.32365,0.00144064,0.00144064,0.00144064
15,12726.5,1.2449,1.19233,1.08623,0.90495,0.81034,0.91055,0.51457,1.50963,2.00472,1.25999,0.0014456,0.0014456,0.0014456
